Kurzbezeichnung	Text	Hilfetext	Nummer	Typ	Einstellwert	Initial	Minimum	Maximum	Variablen_Typ	Passwort	Einheit	Vorkomma	Nachkomma	Not locked by access code	Not delete by P66 function	Bitfield	Non-Volatile	FW_Kommentar
PRED	Leistungsreduktion	Leistungsreduktion über Interface, nicht speicherbar	84	Zahl	Einstellwert	0	0	100	USHORT	PW3	Percent	2	0	Nein	Nein	Nein	Nein	Parameternummer darf nicht verändert werden da Broadcast-Parameter
EGTR1	Gesamtenergie Tracker 1	Gesamtenergie Tracker 1	85	Zahl	Einstellwert	0	0	0xFFFFFFFFL	ULONG	PW2	Watt hour	10	0	Nein	Nein	Nein	Nein	leer
EGTR2	Gesamtenergie Tracker 2	Gesamtenergie Tracker 2	86	Zahl	Einstellwert	0	0	0xFFFFFFFFL	ULONG	PW2	Watt hour	10	0	Nein	Nein	Nein	Nein	leer
EH	Einschalt Hindernis	Hindernisgrund für das Einschalten	88	Zahl	Istwert	0	0	0xFFFF	USHORT	PW0	Without	3	0	Nein	Nein	Nein	Nein	leer
ASPP	Adresse SPP	SPP-Adresse des Geräts	89	Zahl	Einstellwert	0	0	0xFFFF	USHORT	PW1	Without	5	0	Nein	Nein	Nein	Ja	leer
EZS	Sekunde	Aktuelle Zeit Sekunde	90	Zahl	Einstellwert	0	0	59	USHORT	PW0	Second	2	0	Nein	Nein	Nein	Nein	leer
EZM	Minute	Aktuelle Zeit Minute	91	Zahl	Einstellwert	0	0	59	USHORT	PW0	Minute	2	0	Nein	Nein	Nein	Nein	leer
EZH	Stunde	Aktuelle Zeit Stunde	92	Zahl	Einstellwert	0	0	23	USHORT	PW0	Hour	2	0	Nein	Nein	Nein	Nein	leer
EZT	Tag	Aktuelles Datum Tag	93	Zahl	Einstellwert	1	1	31	USHORT	PW0	Day	2	0	Nein	Nein	Nein	Nein	leer
EZMO	Monat	Aktuelles Datum Monat	94	Zahl	Einstellwert	1	1	12	USHORT	PW0	Month	2	0	Nein	Nein	Nein	Nein	leer
EZJ	Jahr	Aktuelles Datum Jahr	95	Zahl	Einstellwert	2005	2004	2100	USHORT	PW0	Year	4	0	Nein	Nein	Nein	Nein	leer
EZST	Zeit stellen	Parameter zum Ändern der Uhrzeit mit Hyperterminal oder SPP	96	Zahl	Einstellwert	0	0	20	USHORT	PW0	Without	2	0	Nein	Nein	Nein	Nein	leer
DATUM	Datum	Eingestelltes Datum	97	Datum	Einstellwert	1012005	1012004	0x31122099	USHORT	PW0	Date	1	0	Nein	Nein	Nein	Nein	leer
ZEIT	Zeit	Eingestellte Uhrzeit	98	Zeit	Einstellwert	0	0	0x235959	USHORT	PW0	Date	1	0	Nein	Nein	Nein	Nein	leer
SPR	Sprache	Ausgewählte Sprache	99	Zahl	Einstellwert	0	0	(ANZAHL_SPRACHEN-1)	USHORT	PW1	Without	1	0	Nein	Nein	Nein	Ja	leer
PCC	Portal Verbindungseinstellung	leer	100	Zahl	Einstellwert	0	0	(MPORT_CONN_DATA_TYPE_COUNT-1)	USHORT	PW1	Without	1	0	Nein	Nein	Nein	Ja	leer
PPI	Portal Post-Intervall	leer	101	Zahl	Einstellwert	15	0	45	USHORT	PW4	Minute	2	0	Nein	Nein	Nein	Ja	leer
UZK80ms	Zwischenkreisspannung 40ms	leer	102	Zahl	Istwert	0	0	0	USHORT	PW0	Volt	3	0	Nein	Nein	Nein	Nein	leer
DNSSERV	DNS Server	leer	103	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	10	0	Nein	Nein	Nein	Nein	Anzeige des 1. DNS Servers
GATEW	Gateway	leer	104	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	10	0	Nein	Nein	Nein	Nein	Anzeige des Gateways
SUBMASK	Subnetzmaske	leer	105	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	10	0	Nein	Nein	Nein	Nein	Anzeige der Subnetzmaske
UACR	Spannungsrückgang schnell	Untere Spannungsschwelle für die Netzüberwachung, welcher nach einer Zeitüberwachung nach P345 zu einer Abschaltung führt.	106	Zahl	Einstellwert	184	80	230	USHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
UACU	Spannungssteigerung schnell	Obere Spannungsschwelle für die Netzüberwachung welche mit einer Zeitüberwachung nach P347 zu einer Abschaltung führt.	107	Zahl	Einstellwert	264	230	300	USHORT	PW3	Volt	3	0	Nein	Nein	Nein	Ja	leer
EZWH	Energie Gesamt Wattstunden	Gesamtenergie des Geräts	108	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Watt hour	9	0	Nein	Nein	Nein	Ja	leer
IPADR	IP:	IP-Adresse	109	Zahl	Istwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	1	0	Nein	Nein	Nein	Nein	leer
IPHH	IP-Adresse WR HH	Erster Nummernblock der IP-Adresse	110	Zahl	Einstellwert	192	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
IPHL	IP-Adresse WR HL	Zweiter Nummernblock der IP-Adresse	111	Zahl	Einstellwert	168	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
IPLH	IP-Adresse WR LH	Dritter Nummernblock der IP-Adresse	112	Zahl	Einstellwert	0	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
IPLL	IP-Adresse WR LL	Vierter Nummernblock der IP-Adresse	113	Zahl	Einstellwert	99	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
SBHH	Subnetzmaske HH	Erster Nummernblock der Subnetzmaske	114	Zahl	Einstellwert	255	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
SBHL	Subnetzmaske HL	Zweiter Nummernblock der Subnetzmaske	115	Zahl	Einstellwert	255	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
SBLH	Subnetzmaske LH	Dritter Nummernblock der Subnetzmaske	116	Zahl	Einstellwert	255	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
SBLL	Subnetzmaske LL	Vierter Nummernblock der Subnetzmaske	117	Zahl	Einstellwert	0	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
SGHH	Standardgateway HH	Erster Nummernblock der Standardgateawayadresse	118	Zahl	Einstellwert	192	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
SGHL	Standard_Gateway HL	Zweiter Nummernblock der Standardgateawayadresse	119	Zahl	Einstellwert	168	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
SGLH	Standardgateway LH	Dritter Nummernblock der Standardgateawayadresse	120	Zahl	Einstellwert	0	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
SGLL	Standardgateway LL	Vierter Nummernblock der Standardgateawayadresse	121	Zahl	Einstellwert	1	0	255	USHORT	PW1	Without	3	0	Nein	Nein	Nein	Ja	leer
MAXP	Maximale Leistung Heute	Bis zum Ablesezeitpunkt maximal ins Netz eingespeiste Leistung	122	Zahl	Istwert	0	0	0	USHORT	PW0	Watt	5	0	Nein	Nein	Nein	Nein	leer
BSH	Betriebsstunden Heute	Gesamte Betriebstunden des Tages	123	Zahl	Istwert	0	0	0	USHORT	PW0	Hour	2	1	Nein	Nein	Nein	Nein	leer
BSG	Betriebsstunden Gesamt	Gesamte Betriebstunden des Geräts bisher	124	Zahl	Istwert	0	0	0	ULONG	PW4	Hour	6	1	Nein	Nein	Nein	Nein	leer
BMG	Betriebsminuten Gesamt	Gesamte Betriebminuten des Geräts bisher	125	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Minute	6	0	Nein	Nein	Nein	Ja	leer
FEW	Funktion Externe Warnung	Externe Signale können in die Warnfunktion eingebunden werden	126	Zahl	Einstellwert	0	0	8	USHORT	PW1	Without	1	0	Nein	Nein	Nein	Ja	leer
T4	Testvariable 4	Testvariable Nr. 4	127	Zahl	Einstellwert	0	-2147483647	2147483646	LONG	PW0	Without	7	0	Nein	Nein	Nein	Nein	leer
T5	Testvariable 5	Testvariable Nr. 5	128	Zahl	Einstellwert	0	-2147483647	2147483646	LONG	PW0	Without	7	0	Nein	Nein	Nein	Nein	leer
FWV	Firmwarerelease	leer	129	Zahl	Istwert	0	0	0xFFFFFFFF	ULONG	PW4	Without	9	0	Nein	Nein	Nein	Nein	leer
DNS2SERV	DNS Server 2	leer	130	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW0	Without	10	0	Nein	Nein	Nein	Nein	Anzeige des 2. DNS Servers
PRCF	Power Reduction Configuration Funktion	Funktion Power Reduction Card	131	Zahl	Einstellwert	0	0	1	USHORT	PW3	Without	5	0	Nein	Nein	Nein	Ja	leer
GMLV	GM Leistungsvorgabe	leer	132	Zahl	Istwert	0	-1000	1000	SHORT	PW0	Percent	3	1	Nein	Nein	Nein	Nein	leer
GMCNT	GM Paketzähler	leer	133	Zahl	Istwert	0	0	65535	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
GMCONFIG	GM Konfiguration	leer	134	Zahl	Einstellwert	0	0	65535	USHORT	PW3	Without	5	0	Nein	Nein	Ja	Ja	leer
GMSNFILT	GM Seriennummer Filter	leer	135	Zahl	Einstellwert	0	0	65535	USHORT	PW3	Without	5	0	Nein	Nein	Nein	Ja	leer
GMUDPPORT	GM UDP Port	leer	136	Zahl	Einstellwert	UDP_PORT_GMPROTOKOLL	1024	65535	USHORT	PW3	Without	5	0	Nein	Nein	Nein	Ja	leer
GMUDPTIME	GM UDP Timeout	leer	137	Zahl	Einstellwert	30	0	30000	USHORT	PW3	Second	4	1	Nein	Nein	Nein	Ja	leer
GMLRED	GM Leistungsbegrenzung	leer	138	Zahl	Einstellwert	0	0	6000	USHORT	PW3	Watt	4	0	Nein	Nein	Nein	Ja	leer
GMIACSLOPE	GM IAC Steigerung	leer	139	Zahl	Einstellwert	4	1	20	SHORT	PW4	Without	2	0	Nein	Nein	Nein	Ja	Rampe für Gridmanager-Vorgabe in 0,01A/20ms
SI	Status Information	leer	140	Zahl	Istwert	0	0	0xFFFFFFFF	ULONG	PW4	Without	3	0	Nein	Nein	Nein	Nein	leer
ERRT	Fehler heute	Alle Fehler, die sich bisher heute ereignet haben	141	Zahl	Istwert	0	0	65535	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
UID	Unique ID	leer	142	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Without	10	0	Nein	Ja	Nein	Ja	leer
CANCONF	CAN Konfiguration	leer	143	Zahl	Einstellwert	MCAND_MASK_ALL_SEND_FUNCTION_ENABLED	0	0xFFFFFFFF	ULONG	PW4	Without	5	0	Nein	Nein	Nein	Ja	leer
SELERROUT	Fehlerausgabe Auswahl	leer	144	Zahl	Einstellwert	1	0	0xFFFF	USHORT	PW4	Without	5	0	Nein	Nein	Ja	Ja	leer
ERRG	Fehler gesamt	Alle Fehler, die sich bisher ereignet haben	145	Zahl	Einstellwert	0	0	65535	USHORT	PW4	Without	5	0	Nein	Nein	Nein	Ja	leer
LBF	Letzter Betriebsfehler	Der letzte Fehler, der sich ereignet hat	146	Zahl	Einstellwert	0	0	999	USHORT	PW4	Without	3	0	Nein	Nein	Nein	Ja	leer
GK	Geräteklasse	Zeigt die Geräteklasse an	147	Zahl	Einstellwert	GL_WR_SE50S2	GL_WR_SE40S2N	GL_WR_SEMX_DEVICE	USHORT	PW4	Without	5	0	Nein	Ja	Nein	Ja	Min-Wert muss 15 sein, damit erkannt wird, wenn 40er FW auf GK=15 aufgespielt wird
SN	Seriennummer	Zeigt die Seriennummer des Gerätes	148	Zahl	Einstellwert	WR_DEFAULT_SN	1	65535	USHORT	PW4	Without	5	0	Nein	Ja	Nein	Ja	leer
FWVO	Firmwarerelease Alt	Release der Firmware	149	Zahl	Istwert	0	0	0xFFFFFFFF	ULONG	PW4	Without	9	0	Nein	Nein	Nein	Nein	leer
WRBSH	Wechselrichter Betriebsstunden heute	Alle Betriebsstunden des Wechselrichters heute	152	Zahl	Istwert	0	0	0	USHORT	PW0	Hour	2	1	Nein	Nein	Nein	Nein	leer
WRBSG	Wechselrichter Betriebsstunden gesamt	Alle Betriebsstunden des Wechselrichters seit der Inbetriebnahme	153	Zahl	Istwert	0	0	0	ULONG	PW4	Hour	6	1	Nein	Nein	Nein	Nein	leer
WRBMG	Wechselrichter Betriebsminuten gesamt	Alle Betriebsminuten des Wechselrichters seit der Inbetriebnahme	154	Zahl	Einstellwert	0	0	0xFFFFFFFF	ULONG	PW4	Minute	6	0	Nein	Nein	Nein	Ja	leer
WARN	Status Warnung	Betriebszustand Warnung	155	Zahl	Istwert	0	0	0	USHORT	PW0	Without	5	0	Nein	Nein	Nein	Nein	leer
T6	Testvariable 6	Testvariable 6	156	Zahl	Einstellwert	0	-2147483647	2147483646	LONG	PW0	Without	7	0	Nein	Nein	Nein	Nein	leer
